术语,类别,别名,定义,用途,口径_分子,口径_分母,口径_粒度,口径_时间窗,口径_数据源,指标与阈值,越界后果_高于,越界后果_低于,替代与升级,计算状态,实施状态,口径状态,同名异义,冲突登记,出现档,权威取自,schema
证据等级,证据纪律,,样本外 → 处置落地 → 参数实测 → 口径核清 → 随机对照 → 前瞻验证，共六级。,对外引用任何金额前必须先报的位置（@sec-ladder）；本报告只达第①与第④级,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
证据链,核验方法,,从命中结论回溯到原始注单编号、物理局键与时间戳的完整链路。,七条原则第⑥条：每条命中都须能定位到 bet01，禁止伪造或估算局号,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
贝叶斯层级模型,模型方法,,让每个个体有自己的参数，同时向总体均值收缩。,**防小样本冤枉人**：只上过 3 天班的荷官，裸 Z-score 必然排在最前，那是噪声不是风险。收缩后榜首才是真异常。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
赏侧天花板,阈值上限,,γ* = m − ρ − κ，赏侧发放不得越过的洗码量百分点。,任何礼遇加码的硬上限；越线即赏穿成本,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
赏罚冲突率,赏罚定标,,赏池 ∩ 罚侧金标准证据链 ÷ 赏池。,**赏侧唯一的真误判**——礼遇发给了证据链已确凿者，等于拿平台的钱补贴对手方，须压到零。与「即期未回本率」严格分开，后者不作误判计,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
赏罚后盈利比带,结账口径,,上界＝罚侧净增益÷全池盈利（赏零发放）；下界＝再扣除赏池按 γ* 天花板足额发放的成本。,真实落点随发放率在带内移动；带体在零线上即最坏组合仍净赚——赏罚的钱由体系自己挣回,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
赢额覆盖率,评估指标,,名单在测试窗赢走的钱 ÷ 全平台被赢走的钱。,回答「这份名单圈住了多少钱」；除以名单人数占比即金额集中度,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
超额梯度,赏罚幅度,,赏罚金额与「能力值超过阈值的差距」成正比，而非不加区分地统一处置固定额。,本报告赏罚幅度的统一形式——超得越多罚得越重，差一点点的人不至于同罪,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
跨月重复命中率,核验方法,,同一对象在相邻月份重复被同一规则命中的比例。,七条原则第④条：连续两月达 0.5 以上才认作稳定，杜绝一月之内的偶发,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
辛普森悖论,统计陷阱,,分层看结论一致，合并后结论反转。,尾段裁定的核心检验之一：整体看似有优势，分层后消失，即判为「未能证实」。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
返点消耗比,未分类,,退水成本 ÷ GGR，衡量每赚一元毛收入需付出多少返水；代理经济学核心成本指标，越高表示利润被返点侵蚀越重。,（待补：本档未载用途）,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,D06基准；D06高精,D06基准,MIN
退水,未分类,,Rebate／回佣，平台按洗码量比例返还给玩家或代理的现金；属直接成本项，在 GGR 与 NGR 之间。,（待补：本档未载用途）,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,D06基准；D06高精,D06基准,MIN
退水优化净额,经济账,,省下的退水 − 因降返水而流失的流水×毛利率，即 SavedRebate − LostGGR。,**不可只记省下的退水**（先生审计指正）：降返水必然带来流水弹性反应，未扣流失即高估增利。本报告未取到该弹性，故退水优化一律不入已证实增利，列于经济层待算项,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
退水消耗比,代理维度,,线下退水支出除以线下游戏赢利；分母非正的线按 1 计并在控制台点名。,代理罚侧维——洗码链的命门；比值越高该线越是在吃退水而非养客,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
退水率 ρ,经济账,,退水支出除以洗码量。,已配置成本，须从赏侧天花板中先行扣除,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
退水（rebate）,博彩业务,,按洗码量返还给会员的比例。,罚项的主要主要着力点：下调 δ 个百分点。上限由经济核算给出，并非主观设定。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
重构误差,军械,,原始特征与其低维重构之间的均方差。,异常度AE 维的原始量；误差越大越罕见,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
金标准,评估基准,,被独立确认确有问题的会员名单：全窗完全反向对打成员 ∪ 人工風險單。,金标准命中率与 Lift 的裁判。它覆盖不全（部分对打、未标注、新型手法者不在内），故一切金标准命中率一律读作下界，须与经济命中率、赢额覆盖率并读,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
金标准召回,评估指标,,名单圈住的金标准人数 ÷ 在册金标准人数。,低是刻意的：名单只取前 0.1%，罚侧宁严勿滥；要提召回只需放宽档位，代价写在净增益里,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
金标准命中率（下界）,评估指标,,"被点名者当中确属金标准（完美对打 ∪ 人工風險單，全窗仅 1,307 人）的比例。",**绝不可读作准确度**——金标准覆盖不全，部分对打、未标注、新型手法者被点名亦记误伤；本报告规定它永远与基率、Lift、经济命中率三者同现,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
金额集中度,评估指标,,赢额覆盖率 ÷ 名单人数占比。,名单聚焦程度的倍数读法——净增益为正的直接来源,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
长度偏倚（length bias）,统计纪律,,只统计「已观察到结局者」而丢弃尚未结局者，所得分布必然偏向结局来得快的一端。,本报告曾因此把处置持续期误报为「中位 6 日」——那只是已解除者的中位；以 Kaplan–Meier 重估后方向反转，处置实以长期为主（详见主方案『处置持续期』一节）,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
门禁五档,未分类,,FATAL 停止分析／BLOCK 禁入正式结论／CONDITIONAL 条件可用／ADVISORY 建议可用／NA 不适用。,（待补：本档未载用途）,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,R01前,R01前,MIN
门闸,未分类,,评分管道引用未获准入之特征时，渲染直接失败并报出该特征所属类型、门禁等级与裁定理由。,（待补：本档未载用途）,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,R01前,R01前,MIN
闸,本方案用语,,一道必须通过的判据；多闸串联构成漏斗，全过才进入下一步。,R-01 三闸、上线四闸、T4 双闸——**任一不过即退回**，不接受「先上再调」。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
阈值,本方案用语,,把连续指标切成「处置 / 不处置」的那条线。,本方案的阈值一律**由训练窗分位数算出**、逐折重估，绝不写死——写死的阈值既无法回测，也无法证明它比朴素做法强。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
阈值差距,赏罚定标,,"（个体能力值 − 阈值）÷（满分 − 阈值），截断于 [0,1]。",逐员赏罚幅度的统一自变量：金额类幅度＝基准额×差距×δ_pred 并设封顶，过程类幅度以差距百分比定档,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
限红 / 封盘,博彩业务,,限制单注上限 / 提前停止接受下注。,R-01 的正确落点是**产品参数**而非账户处罚：对全体生效、可 A/B、可回滚，误伤成本远低于封号。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
限红处置（101-mem015）,处置类别,,"会员在百家乐可选用的**限额组清单**（逗号分隔组号），其组号对应 bet_limit_default 内的「下限,上限」。方向取清单**最高上限**之变化——降即收紧、升即放宽。",实测四例皆判得出（5 万→2 万、2 万→1 万、3 万→1 千皆为收紧；3 万→5 万为放宽）。此项使处置总体有望由 188 增至约 402 名会员，正对功效不足之要害。**惟限红与禁投是两种处置，效应未必可加，须分列估计**,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
随机森林,机器学习,,多棵决策树投票的分类模型，抗过拟合、可给特征重要度。,扩样模型的挑战者之一；与**随机生存森林（RSF）**不同——后者预测「还能活多久」，前者预测「是不是」,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
随机生存森林（RSF）,生存分析,,Cox 的非线性替代，天然处理交互。,H 的挑战者模型。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
隐马尔可夫模型,军械,,假设序列背后有不可见的离散状态在切换，观测由状态生成；以 Viterbi 解码最可能的状态路径。,经营场所日 GGR 的三态解码（depmixS4 守卫参赛，缺包则分位降级并如实注明）,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
隐马尔可夫模型（HMM）,模型方法,,假设存在看不见的状态，观测由状态生成。,把会员行为解码为「常规 / 冲刷 / 收割」三态，为分状态阈值做准备。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
集中度诊断,核验方法,,检查某 IP 或某名单的注单是否被极少数账户占去大半。,七条原则第⑤条：首位账户订单占比低于 50%，才排除被单一极端账户主导,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
零误判反事实,误判经济学,,假设名单全对（误伤罚项＝0）时的净增益＝0.60×名单赢走额。,与实际净增益之差即误判的盈利代价；两线累计走势图即其长期账,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
需求原规则轨,风控规则,,需求文档的原判定轨：胜率>70% 且关联订单>100。,作为对照基线保留，与统计修正轨比较命中规模、误判率与关联漏损，据以裁定采用口径,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
靴内相对位置,未分类,,"shoe_pos = round_no / max_round，其中 max_round = MAX(round_no) 按 (shoe_id, table_id) 分组、算于清洗后注单集——是最大局号，不是总局数（COUNT），二者仅在局号连续无缺口时相等。取值区间 [首局号/max_round, 1]。因靴长实测不定（均值49.86、P50=50、P75=52、P90=54、P99=58），固定绝对局号（如 round_no≥40 或 ≥50）会随靴长系统性失真，2026-08-12 已斧正为本相对口径（B-01）。",（待补：本档未载用途）,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,R01前；R01后,R01后,MIN
靴号,博彩业务,,一副牌从洗牌到打完的完整周期编号，库内为 bet03；局内第几把为 bet04。,R-01 靴末段判据的基础键。物理局键须三段齐全（bet03 靴号 + bet04 局序 + bet39 桌号），少一段就会把不同桌的同号局并成一局。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
靴尾,未分类,,本报告专属定义：shoe_pos ≥ 0.80，即该笔注单的局号（round_no）除以其所属靴之最大局号（max_round）≥ 0.80，是**靴内相对位置**，与靴长无关。**严禁**与 D-06 之「尾段」（pr_in_round ≥ 0.80，局内注单时序分位）或 X-01 之「压哨」（progress ≥ 0.90，局内物理时间进度）互代，三者判据、粒度、交付件完全独立。,（待补：本档未载用途）,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,R01前；R01后,R01后,MIN
靴（shoe）,博彩业务,,一副牌从洗好到用尽的整个周期，百家乐一靴约 60–80 把。,R-01 策略性风控的时间坐标。实测靴长均值 49.86 把、P50=50，故 2026-08-12 起判据一律改用相对靴位 shoe_pos ≥ 0.80（每靴末 20% 之局位），不再用绝对局号；须辨明其固定的是局位区间，非下注占比。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
预测 ≠ 因果,评估纪律,,预测层答「能力值有没有信息」（证据为折外误差），因果层答「照此处置能否增利」（证据为准实验与随机对照）。,二者不可互相冒充——纵然把 GGR 预测得极准，也不证明处置会提高 GGR；一个完美预测谁会赢的模型，若处置无效或误伤过重，商业净值仍可为负。对外表述不因预测精度提升而放宽一字,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
预算折减 δ_pred,赏罚定标,,"min(1, 1/盈利RelMAE折均)：预测胜过朴素外推即足额（δ=1），预测不如朴素即按比例收敛。",先生令「按预测误差定额度」的落地——预测不牢，赏罚就不敢给满；一切幅度公式统一乘此因子,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
風險單密度,荷官维度,,人工風險單（種子）会员在其桌的注额占比。,荷官罚侧维；以種子会员注额占比为代理量，待 dailyreport 風險單專列到位即换正式口径,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·精要报告,主·精要报告,MIN
风险分,评分体系,,以对打、同桌、稳定盈利、返水依赖为项的玩家风险度量。,与价值分分立后，高价值高风险者可同时进礼遇名单与调查名单,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
风险维度,本方案用语,,评分体系中一个可独立计量的风险侧面；18 指标框架分为串谋、策略性投注、荷官关联、系统标记、多维重叠、财务风险六大类。,每个维度独立打分再合成，避免单一信号主导；多维重叠是最高置信层。四实体共 42 维，维度清单以 @sec-radar 的评分设计表为唯一权威。,,,,,,,,,,DEFINED,未标注,（待补）,FALSE,,主·商业方案,主·商业方案,MIN
